Date,Price,Open,High,Low,Vol.,Change %
07-09-2023,25.531,23.605,25.58,23.29,10.73K,8.10%
07-02-2023,23.617,23.29,23.85,23.06,6.26K,1.20%
06/25/2023,23.337,22.65,23.4,22.635,114.35K,3.49%
06/18/2023,22.549,24.44,24.47,22.34,89.58K,-7.35%
06-11-2023,24.339,24.57,24.72,23.495,69.37K,-1.18%
06-04-2023,24.629,23.87,24.835,23.535,49.07K,2.77%
05/28/2023,23.966,23.62,24.32,23.26,15.91K,1.66%
05/21/2023,23.574,24.235,24.255,23.025,13.73K,-2.88%
05/14/2023,24.273,24.305,24.605,23.69,8.16K,-0.40%
05-07-2023,24.371,26.13,26.42,24.13,11.71K,-6.78%
04/30/2023,26.144,25.645,26.63,25.05,9.35K,2.75%
04/23/2023,25.444,25.375,25.655,24.735,142.70K,0.65%
04/16/2023,25.28,25.705,25.925,24.925,86.61K,-1.57%
04-09-2023,25.684,25.23,26.435,25,83.80K,1.52%
04-02-2023,25.299,24.415,25.5,23.935,30.52K,3.90%
03/26/2023,24.35,23.665,24.5,23.145,15.54K,3.49%
03/19/2023,23.528,22.9,23.885,22.485,9.22K,3.91%
03-12-2023,22.642,20.875,22.925,20.84,13.69K,9.46%
03-05-2023,20.686,21.525,21.57,20.125,12.56K,-3.39%
02/26/2023,21.411,21.18,21.54,20.725,8.82K,2.27%
02/19/2023,20.936,21.815,22.135,20.835,145.19K,-4.23%
02-12-2023,21.861,22.19,22.27,21.315,55.53K,-1.81%
02-05-2023,22.265,22.515,22.815,22.035,57.58K,-1.51%
01/29/2023,22.607,23.905,24.935,22.525,25.24K,-5.10%
01/22/2023,23.822,24.31,24.605,23.045,13.83K,-1.26%
01/15/2023,24.125,24.605,24.855,23.47,8.12K,-1.78%
01-08-2023,24.561,24.17,24.63,23.53,12.74K,1.64%
01-01-2023,24.164,24.45,24.94,23.455,9.15K,-0.18%
12/25/2022,24.207,24.05,24.495,23.645,80.84K,1.20%
12/18/2022,23.92,23.415,24.525,23.03,220.23K,2.54%
12-11-2022,23.328,23.65,24.39,22.735,278.11K,-1.64%
12-04-2022,23.717,23.29,23.9,22.19,272.63K,2.01%
11/27/2022,23.25,21.64,23.475,21.045,318.00K,7.59%
11/20/2022,21.609,21.175,21.88,20.79,88.88K,1.95%
11/13/2022,21.196,21.905,22.5,20.975,71.16K,-2.87%
11-06-2022,21.822,20.735,22.305,20.565,88.13K,4.41%
10/30/2022,20.9,19.385,21.07,18.965,25.48K,8.16%
10/23/2022,19.323,19.46,19.79,19.08,2.77K,1.04%
10/16/2022,19.124,18.24,19.425,18.24,0.24K,5.39%
10-09-2022,18.146,20.22,20.22,18.105,0.54K,-10.70%
10-02-2022,20.32,19.495,21.19,19.475,0.53K,6.47%
09/25/2022,19.086,18.85,19.095,17.895,228.75K,0.93%
09/18/2022,18.91,19.6,19.96,18.76,303.15K,-2.43%
09-11-2022,19.381,18.815,20.005,18.77,314.99K,3.27%
09-04-2022,18.767,17.94,18.86,17.74,220.65K,4.95%
08/28/2022,17.881,18.81,18.83,17.4,290.43K,-5.01%
08/21/2022,18.825,19.075,19.385,18.715,124.37K,-1.83%
08/14/2022,19.176,20.98,21.02,19.035,44.85K,-8.01%
08-07-2022,20.845,19.945,20.98,19.895,67.12K,4.26%
07/31/2022,19.994,20.5,20.66,19.625,37.71K,-1.72%
07/24/2022,20.344,18.64,20.49,18.35,20.77K,8.44%
07/17/2022,18.76,18.805,19.15,18.26,12.15K,0.10%
07-10-2022,18.741,19.37,19.515,18.175,14.22K,-3.42%
07-03-2022,19.405,20.045,20.25,18.875,10.67K,-2.11%
06/26/2022,19.824,21.245,21.575,19.45,84.67K,-6.31%
06/19/2022,21.159,21.625,22.03,20.6,102.70K,-2.41%
06-12-2022,21.681,22.11,22.125,20.935,83.31K,-1.56%
06-05-2022,22.024,22.04,22.655,21.355,77.07K,0.11%
05/29/2022,21.999,22.21,22.61,21.51,16.82K,-0.87%
05/22/2022,22.191,21.9,22.56,21.755,14.72K,1.94%
05/15/2022,21.768,21.19,22.15,20.95,9.63K,3.21%
05-08-2022,21.09,22.435,22.455,20.525,15.91K,-6.11%
05-01-2022,22.462,22.84,23.4,22.21,10.49K,-3.00%
04/24/2022,23.156,24.255,24.3,22.8,113.34K,-4.78%
04/17/2022,24.318,25.9,26.575,24.16,103.02K,-5.69%
04-10-2022,25.785,25.015,26.2,24.885,72.97K,3.52%
04-03-2022,24.908,24.785,25.18,24.285,45.87K,0.75%
03/27/2022,24.722,25.76,25.83,24.11,25.64K,-3.68%
03/20/2022,25.667,25.135,26.18,24.75,14.71K,2.15%
03/13/2022,25.127,26.265,26.295,24.58,11.37K,-3.93%
03-06-2022,26.154,26.02,27.45,25.49,31.96K,1.25%
02/27/2022,25.831,24.575,25.935,24.215,21.43K,7.30%
02/20/2022,24.073,24.095,25.705,23.755,174.51K,0.15%
02/13/2022,24.038,23.65,24.165,23.125,75.01K,2.64%
02-06-2022,23.42,22.58,23.78,22.58,93.71K,4.01%
01/30/2022,22.517,22.505,23.09,22.05,18.76K,0.79%
01/23/2022,22.34,24.35,24.38,22.2,16.95K,-8.28%
01/16/2022,24.357,23.035,24.79,22.87,10.17K,6.11%
01-09-2022,22.954,22.38,23.37,22.275,15.97K,2.28%
01-02-2022,22.443,23.395,23.46,21.985,12.06K,-4.01%
12/26/2021,23.381,22.9,23.48,22.6,124.50K,1.92%
12/19/2021,22.94,22.39,22.965,22.185,150.34K,1.81%
12-12-2021,22.533,22.195,22.69,21.41,245.03K,1.52%
12-05-2021,22.195,22.61,22.635,21.815,211.68K,-1.27%
11/28/2021,22.481,23.16,23.46,22.035,299.64K,-2.83%
11/21/2021,23.135,24.725,25.02,22.935,147.64K,-6.88%
11/14/2021,24.844,25.48,25.54,24.67,69.94K,-2.18%
11-07-2021,25.398,24.335,25.515,24.1,81.21K,4.92%
10/31/2021,24.206,24.005,24.295,23.095,26.70K,0.89%
10/24/2021,23.992,24.55,24.65,23.75,7.24K,-1.95%
10/17/2021,24.469,23.415,24.905,23.15,1.53K,4.69%
10-10-2021,23.372,22.71,23.655,22.38,1.06K,2.83%
10-03-2021,22.728,22.61,23.22,22.365,0.52K,0.77%
09/26/2021,22.555,22.395,22.865,21.5,91.94K,0.58%
09/19/2021,22.425,22.33,23.15,22.025,229.49K,0.39%
09-12-2021,22.337,23.79,24,22.305,279.48K,-6.54%
09-05-2021,23.9,24.865,24.895,23.76,197.86K,-3.64%
08/29/2021,24.802,24.13,24.945,23.775,245.25K,2.87%
08/22/2021,24.11,23.015,24.18,22.975,166.93K,4.10%
08/15/2021,23.16,23.77,24,22.88,58.55K,-2.82%
08-08-2021,23.832,24.395,24.395,22.35,78.10K,-2.24%
08-01-2021,24.377,25.605,26.13,24.26,30.28K,-4.78%
07/25/2021,25.6,25.305,25.92,24.575,15.79K,1.27%
07/18/2021,25.28,25.75,25.85,24.85,10.21K,-2.18%
07-11-2021,25.844,26.24,26.615,25.69,11.83K,-1.66%
07-04-2021,26.279,26.635,26.935,25.885,11.93K,-1.00%
06/27/2021,26.544,26.22,26.72,25.635,48.97K,1.60%
06/20/2021,26.126,25.895,26.415,25.615,107.41K,0.45%
06/13/2021,26.009,28.105,28.185,25.81,72.42K,-7.70%
06-06-2021,28.18,27.945,28.465,27.515,87.55K,0.91%
05/30/2021,27.926,28.08,28.735,27.125,18.49K,-0.42%
05/23/2021,28.045,27.71,28.355,27.515,13.62K,1.94%
05/16/2021,27.51,27.535,28.92,27.31,13.76K,0.44%
05-09-2021,27.39,27.69,28.01,26.815,14.67K,-0.41%
05-02-2021,27.502,26.005,27.795,25.93,16.76K,6.19%
04/25/2021,25.9,26.09,26.585,25.82,145.17K,-0.82%
04/18/2021,26.114,26.11,26.765,25.715,83.70K,-0.10%
